STUDY_ID	SAMPLE_ID	ERBB2	ESR1
brca_tcga	TCGA-A7-A26G-01	1024.5409	96.102
brca_tcga	TCGA-A7-A26H-01	11361.6188	19851.1749
brca_tcga	TCGA-A7-A26I-01	5323.0982	113.4163
brca_tcga	TCGA-A7-A26J-01	8654.9856	7433.9596
brca_tcga	TCGA-AC-A23C-01	38963.7539	26118.8149
brca_tcga	TCGA-AR-A24H-01	11472.7018	11140.6906
brca_tcga	TCGA-AR-A24K-01	6702.8219	12727.8072
brca_tcga	TCGA-AR-A24L-01	7443.4578	9864.4555
brca_tcga	TCGA-AR-A24M-01	7091.989	14949.5962
brca_tcga	TCGA-AR-A24N-01	6568.9201	25450.9804
brca_tcga	TCGA-AR-A24O-01	4088.5947	6807.1962
brca_tcga	TCGA-AR-A24P-01	10529.7266	12457.9777
brca_tcga	TCGA-AR-A24Q-01	4352.2562	268.1223
brca_tcga	TCGA-AR-A24R-01	4746.5828	8534.4451
brca_tcga	TCGA-AR-A24S-01	3342.1489	12301.3474
brca_tcga	TCGA-AR-A24T-01	7019.8889	8739.8341
brca_tcga	TCGA-AR-A24U-01	84718.0718	258.198
brca_tcga	TCGA-AR-A24V-01	6333.7902	6527.4859
brca_tcga	TCGA-AR-A24W-01	5460.8887	12753.2134
brca_tcga	TCGA-AR-A24X-01	9713.497	4321.8578
brca_tcga	TCGA-AR-A24Z-01	3842.28	38464.6904
brca_tcga	TCGA-AR-A250-01	56657.2848	18330.8499
brca_tcga	TCGA-AR-A251-01	2551.0853	349.0351
brca_tcga	TCGA-AR-A252-01	1506.0741	7460.1481
brca_tcga	TCGA-AR-A254-01	118767.1293	1809.4892
brca_tcga	TCGA-AR-A255-01	7384.8541	12764.432
brca_tcga	TCGA-AR-A256-01	1894.8147	33.4344
brca_tcga	TCGA-BH-A203-01	3678.0785	342.7137
brca_tcga	TCGA-C8-A278-01	64870.2348	158.152
brca_tcga	TCGA-C8-A27A-01	3611.3762	8007.635
brca_tcga	TCGA-C8-A27B-01	1036.283	197.3375
brca_tcga	TCGA-E9-A1QZ-01	7246.2843	10192.6793
brca_tcga	TCGA-E9-A1RH-01	3666.0059	100.23
brca_tcga	TCGA-E9-A1RI-01	11464.7163	3932.8082
brca_tcga	TCGA-E9-A243-01	1512.0187	207.7013
brca_tcga	TCGA-E9-A244-01	5426.658	75.1388
brca_tcga	TCGA-E9-A247-01	8262.4936	40205.1235
brca_tcga	TCGA-E9-A248-01	5040.4662	252.8326
brca_tcga	TCGA-E9-A249-01	9090.5255	12074.372
brca_tcga	TCGA-E9-A24A-01	4028.4943	34199.4601
brca_tcga	TCGA-A2-A259-01	3591.7108	20583.5169
brca_tcga	TCGA-A2-A25A-01	2998.8678	3290.9873
brca_tcga	TCGA-A2-A25D-01	9604.722	2331.3024
brca_tcga	TCGA-BH-A28Q-01	9963.5466	8711.6963
brca_tcga	TCGA-C8-A26V-01	2577.0487	11159.1931
brca_tcga	TCGA-C8-A26W-01	19338.9925	9423.6014
brca_tcga	TCGA-C8-A26X-01	13472.2095	120.3491
brca_tcga	TCGA-C8-A26Y-01	4636.9894	23.8642
brca_tcga	TCGA-C8-A26Z-01	11587.0021	72086.2534
brca_tcga	TCGA-C8-A273-01	3592.6089	9867.4292
brca_tcga	TCGA-C8-A274-01	8225.1418	26828.1012
brca_tcga	TCGA-C8-A275-01	181646.3666	90.9091
brca_tcga	TCGA-D8-A27E-01	5573.6808	50698.7258
brca_tcga	TCGA-D8-A27F-01	3837.659	31.4074
brca_tcga	TCGA-D8-A27G-01	19131.7579	5322.7582
brca_tcga	TCGA-D8-A27H-01	4352.6491	35.6073
brca_tcga	TCGA-D8-A27I-01	5941.125	10759.2539
brca_tcga	TCGA-D8-A27K-01	10896.7763	9387.1703
brca_tcga	TCGA-D8-A27L-01	6483.8884	8988.0856
brca_tcga	TCGA-D8-A27M-01	2330.9729	201.9704
brca_tcga	TCGA-D8-A27N-01	50196.1433	2536.1251
brca_tcga	TCGA-D8-A27P-01	11089.8345	2939.3223
brca_tcga	TCGA-D8-A27R-01	8020.8105	5746.1665
brca_tcga	TCGA-D8-A27T-01	9880.1258	20499.1634
brca_tcga	TCGA-D8-A27W-01	10347.4847	8673.3742
brca_tcga	TCGA-E9-A1R0-01	8451.8361	8644.2366
brca_tcga	TCGA-E9-A245-01	6254.7636	7015.5258
brca_tcga	TCGA-E9-A295-01	7074.2485	4744.1748
brca_tcga	TCGA-GI-A2C8-01	599.3976	7420.3481
brca_tcga	TCGA-AC-A2B8-01	6122.449	5354.2454
brca_tcga	TCGA-AC-A2FB-01	73467.5419	4578.3289
brca_tcga	TCGA-AC-A2FF-01	10379.3881	1238.3253
brca_tcga	TCGA-AC-A2FG-01	8846.3332	24074.6307
brca_tcga	TCGA-D8-A27V-01	4781.0403	19157.5084
brca_tcga	TCGA-EW-A2FS-01	8300.7045	10754.5421
brca_tcga	TCGA-EW-A2FV-01	5920.4327	4533.4852
brca_tcga	TCGA-EW-A2FW-01	8334.2017	21831.7827
brca_tcga	TCGA-AC-A2FK-01	10286.7941	1070.6981
brca_tcga	TCGA-AC-A2FO-01	12098.526	17883.2428
brca_tcga	TCGA-AR-A2LE-01	8224.5509	20644.2116
brca_tcga	TCGA-AR-A2LK-01	5614.474	32402.5467
brca_tcga	TCGA-AR-A2LL-01	17124.5487	39462.0939
brca_tcga	TCGA-AR-A2LM-01	11232.4431	6735.1442
brca_tcga	TCGA-E9-A2JS-01	10917.9593	12692.1751
brca_tcga	TCGA-GM-A2DD-01	8027.5489	76.7433
brca_tcga	TCGA-GM-A2DF-01	2805.7229	44.1767
brca_tcga	TCGA-GM-A2DH-01	5888.3963	779.4003
brca_tcga	TCGA-GM-A2DK-01	10017.8678	15956.6409
brca_tcga	TCGA-GM-A2DM-01	4198.5708	10007.5099
brca_tcga	TCGA-GM-A2DN-01	6498.2646	7691.0914
brca_tcga	TCGA-AC-A2QH-01	1189.6125	16.488
brca_tcga	TCGA-AR-A2LH-01	6705.0473	1246.5825
brca_tcga	TCGA-AR-A2LN-01	6707.8292	4396.0506
brca_tcga	TCGA-AR-A2LO-01	7751.4124	4328.7108
brca_tcga	TCGA-AR-A2LQ-01	10372.7677	1786.9073
brca_tcga	TCGA-AR-A2LR-01	4314.7793	57.7764
brca_tcga	TCGA-B6-A2IU-01	14024.4428	10304.0978
brca_tcga	TCGA-BH-A2L8-01	5596.6697	2100.5459
brca_tcga	TCGA-E9-A2JT-01	1762.0397	5178.4703
brca_tcga	TCGA-GM-A2D9-01	7256.6884	14427.3319
brca_tcga	TCGA-GM-A2DA-01	45717.6982	3125.9501
brca_tcga	TCGA-GM-A2DB-01	4329.6048	66.3684
brca_tcga	TCGA-GM-A2DC-01	12384.0788	7562.3034
brca_tcga	TCGA-GM-A2DI-01	3861.5506	5859.9684
brca_tcga	TCGA-GM-A2DL-01	3537.4002	6099.3884
brca_tcga	TCGA-GM-A2DO-01	4662.4016	3433.0709
brca_tcga	TCGA-HN-A2NL-01	643.4472	70.1695
brca_tcga	TCGA-AC-A2FE-01	8680.4363	4291.1735
brca_tcga	TCGA-AC-A2FM-01	22274.9749	27153.0237
brca_tcga	TCGA-AC-A2QI-01	12587.4504	8884.1938
brca_tcga	TCGA-AC-A2QJ-01	2321.7851	35.8191
brca_tcga	TCGA-AC-A3BB-01	7182.6984	2517.7812
brca_tcga	TCGA-AR-A2LJ-01	73283.5473	2199.6393
brca_tcga	TCGA-BH-A0B6-01	3699.2832	8440.4556
brca_tcga	TCGA-E2-A1LE-01	182279.3631	80.4489
brca_tcga	TCGA-E2-A2P5-01	4323.6823	7691.5367
brca_tcga	TCGA-E2-A2P6-01	10530.0193	23436.7233
brca_tcga	TCGA-A2-A3KC-01	14814.131	9598.7928
brca_tcga	TCGA-A2-A3KD-01	8941.4311	14320.402
brca_tcga	TCGA-A7-A3IZ-01	10192.8934	48147.8849
brca_tcga	TCGA-A7-A3J0-01	2448.7477	24429.6411
brca_tcga	TCGA-A7-A3J1-01	12038.4456	11297.9095
brca_tcga	TCGA-AC-A23G-01	6718.75	4906.25
brca_tcga	TCGA-AC-A3HN-01	9689.714	12743.525
brca_tcga	TCGA-C8-A3M8-01	18897.6	23945.3333
brca_tcga	TCGA-E2-A3DX-01	25337.6883	7515.7695
brca_tcga	TCGA-E9-A3HO-01	7687.5262	8148.677
brca_tcga	TCGA-A7-A2KD-01	119811.3031	10190.9655
brca_tcga	TCGA-A7-A3IY-01	2143.3037	13628.6314
brca_tcga	TCGA-AC-A2BK-01	1574.0326	7.3553
brca_tcga	TCGA-AC-A2BM-01	2952.2167	4917.3711
brca_tcga	TCGA-AC-A3OD-01	8053.6107	39692.1384
brca_tcga	TCGA-B6-A0I1-01	6949.2402	15.8422
brca_tcga	TCGA-C8-A3M7-01	4824.4751	1061.6798
brca_tcga	TCGA-E9-A3Q9-01	3433.1593	13762.3447
brca_tcga	TCGA-EW-A1PC-01	10223.1891	5618.5325
brca_tcga	TCGA-EW-A2FR-01	185240.8518	171.5657
brca_tcga	TCGA-GI-A2C9-01	3454.3329	84.1543
brca_tcga	TCGA-GM-A3NY-01	6532.409	13879.0295
brca_tcga	TCGA-A2-A0CK-01	10546.6667	3404.4444
brca_tcga	TCGA-A2-A0CO-01	10802.2977	6417.9634
brca_tcga	TCGA-A2-A0CR-01	4772.7121	2435.403
brca_tcga	TCGA-A7-A13H-01	12254.2925	10988.3303
brca_tcga	TCGA-A7-A3RF-01	726.9326	19769.7083
brca_tcga	TCGA-AC-A3EH-01	17797.8576	8995.5079
brca_tcga	TCGA-AC-A3QQ-01	186945.6409	6576.5586
brca_tcga	TCGA-AC-A3TM-01	10032.4154	2696.7394
brca_tcga	TCGA-AC-A3TN-01	14242.2197	19523.0596
brca_tcga	TCGA-AC-A3W5-01	187051.8305	545.0432
brca_tcga	TCGA-AC-A3W6-01	4059.0205	8085.3914
brca_tcga	TCGA-AC-A3W7-01	8611.0279	11800.4195
brca_tcga	TCGA-AR-A1AM-01	14408.6576	3936.1563
brca_tcga	TCGA-BH-A28O-01	7610.8662	1514.0093
brca_tcga	TCGA-E2-A14U-01	14361.044	13625.5551
brca_tcga	TCGA-E9-A3QA-01	3166.4589	875.3117
brca_tcga	TCGA-EW-A3U0-01	3385.9156	45.6301
brca_tcga	TCGA-GM-A3NW-01	11597.1914	7806.3562
brca_tcga	TCGA-A2-A0EP-01	2368.4405	2494.6865
brca_tcga	TCGA-A2-A3XS-01	6533.8148	24.9508
brca_tcga	TCGA-A2-A3XT-01	1346.0171	1005.1136
brca_tcga	TCGA-A2-A3XU-01	3224.0594	181.3186
brca_tcga	TCGA-AC-A3QP-01	10027.8945	1203.2862
brca_tcga	TCGA-AC-A3YJ-01	7416.6367	13272.8364
brca_tcga	TCGA-E9-A3X8-01	5586.6058	3467.8013
brca_tcga	TCGA-GM-A3XL-01	2364.1398	167.532
brca_tcga	TCGA-GM-A3XN-01	5982.2569	2245.9191
brca_tcga	TCGA-JL-A3YX-01	7486.2186	4815.113
brca_tcga	TCGA-A2-A3XV-01	38352.6882	3.871
brca_tcga	TCGA-A2-A3XW-01	9997.8738	1610.9142
brca_tcga	TCGA-A2-A3XX-01	7411.5329	40.7849
brca_tcga	TCGA-A2-A3XY-01	4162.3309	56.6035
brca_tcga	TCGA-A2-A3XZ-01	204029.204	80.634
brca_tcga	TCGA-A2-A3Y0-01	2386.1454	595.305
brca_tcga	TCGA-AC-A3YI-01	12807.7581	1577.9691
brca_tcga	TCGA-B6-A3ZX-01	2793.368	134.9501
brca_tcga	TCGA-B6-A400-01	4493.3392	18.1525
brca_tcga	TCGA-B6-A401-01	10981.1837	7122.4769
brca_tcga	TCGA-B6-A402-01	4779.5436	46.0473
brca_tcga	TCGA-B6-A40B-01	12183.1277	3503.4731
